wyo_leaf_FPsc_02_052,wyo_leaf_FPsc_02_064,wyo_leaf_FPsc_02_065,wyo_leaf_FPsc_04_141,wyo_leaf_FPsc_04_170,wyo_leaf_FPsc_04_174,wyo_leaf_FPsc_05_178,wyo_leaf_FPsc_05_181,wyo_leaf_FPsc_05_218,wyo_leaf_FPsc_07_272,wyo_leaf_FPsc_07_292,wyo_leaf_FPsc_07_296,wyo_leaf_FPsc_10_399,wyo_leaf_FPsc_10_428,wyo_leaf_FPsc_10_435,wyo_leaf_FPsc_12_508,wyo_leaf_FPsc_12_517,wyo_leaf_FPsc_12_523,wyo_leaf_R500_02_055,wyo_leaf_R500_02_059,wyo_leaf_R500_02_082,wyo_leaf_R500_04_153,wyo_leaf_R500_04_154,wyo_leaf_R500_04_162,wyo_leaf_R500_05_179,wyo_leaf_R500_05_202,wyo_leaf_R500_05_213,wyo_leaf_R500_07_266,wyo_leaf_R500_07_269,wyo_leaf_R500_07_278,wyo_leaf_R500_10_406,wyo_leaf_R500_10_424,wyo_leaf_R500_10_432,wyo_leaf_R500_12_485,wyo_leaf_R500_12_504,wyo_leaf_R500_12_513
0.767763456,0.324098503,0.419307887,1.130996906,0,0.872953347,0,0,0.603602948,0,0.148906049,0.302770943,0.157520101,0.276971733,0,0.504064272,0,0.179619202,0.047822355,0.019589765,-0.008642825,-0.036875416,-0.065108006,-0.093340596,-0.121573187,-0.149805777,-0.178038367,-0.206270958,-0.234503548,-0.262736138,-0.290968729,-0.319201319,-0.34743391,-0.3756665,-0.40389909,-0.432131681
15.51204642,12.65340514,12.23498485,11.92401959,16.02532604,15.58119881,13.29748969,12.65996741,17.09101747,16.61906458,18.25900864,16.13965929,13.85727952,13.50777293,13.77568017,15.40875752,15.32327717,15.33063479,17.59127784,18.44901413,15.52611806,15.67859639,15.39403518,15.05409116,14.7684885,14.67025892,17.12584781,19.66686149,15.60598032,14.96483322,18.58433482,20.51381257,15.80898025,18.99266642,17.51985326,15.75366579
0.770760805,0.982483546,0.733788803,0.487178533,0.490331043,0.736190656,0.753389851,0.474891792,0.305466853,0.562336727,0.598514463,0.306844726,0.477273303,0.42211046,0.737008617,0.337412222,0.452062874,0.442721584,6.130195641,8.092621406,6.299075941,8.66235422,7.928262111,4.337022969,7.965435836,7.10241901,5.216560393,7.66259579,5.210235065,8.325588407,7.238362425,6.84945988,8.640743162,8.025718181,5.710802348,8.206010367
35.4812668,48.76904635,44.46833524,43.78024394,37.90667573,36.24400454,46.46500211,47.77615287,49.21325736,40.15885162,42.43211883,44.93060243,35.28623524,40.94196156,35.56874042,31.66481348,47.75483741,31.14145554,32.97262339,53.28094423,44.45018738,61.08607946,37.28480527,32.15148755,54.59120063,57.95257156,35.08053316,37.3716716,46.62246595,47.77121696,40.13359674,40.50349888,46.10243826,28.50985314,37.88939688,40.08183947
1.22842153,2.10664027,1.048269718,1.454138879,0.980662086,2.473367818,1.045839423,1.103138786,1.358106633,3.481598983,1.489060491,1.816625659,2.520321608,1.107886932,1.160622928,1.848235663,2.702279724,1.889351588,3.305115293,2.59451423,1.984965689,1.317873651,1.725429463,3.127735981,2.737867297,2.388406948,3.165918803,3.574074088,1.807562748,3.577688761,2.997782806,2.085844036,2.345344573,3.174548425,3.045761252,3.68014502
1.22842153,0,0.943442747,1.292567892,0.326887362,0.872953347,0.149405632,0.157591255,0,0.139263959,0.148906049,1.362469245,0.472560302,0.692429332,1.015545062,1.512192815,0,0.726673688,0,0,0,0.146430406,0,0,0,0,0.253273504,0,0,0,0,0,0,0,0,0
9.980924929,14.18605076,11.11165902,8.240120315,4.73986675,5.819688983,7.022064698,12.52029428,6.790533166,4.177918779,9.827799238,4.390178677,6.458324122,7.893694388,8.994827696,5.040642716,4.203546237,4.755846749,4.20088086,2.162095192,4.962414224,4.832203386,1.109204655,1.489398086,2.737867297,6.501774469,3.165918803,2.997610526,1.032892999,4.216561754,2.398226245,2.627595672,2.345344573,0.875737497,1.269067188,3.105122361
52.20791501,51.85576049,45.07559789,48.30972498,48.54277327,50.48580193,46.46515151,48.06533282,47.83553363,51.38840098,43.18275423,44.8100996,52.45419348,47.36216633,47.58554007,60.82375544,51.94382136,58.86056869,48.12247867,50.01646877,43.5274619,54.03281968,48.92824977,47.06497953,47.26423545,42.99132506,36.34474785,38.50776599,45.18906869,43.82668733,41.24949141,43.1074434,46.4131347,35.02949986,48.98599347,37.1464638
23.24757034,15.94940589,16.47282484,18.32150359,19.60555987,18.86554028,15.53489879,16.96737767,20.06014038,22.6574106,22.63371946,17.87287155,13.71978023,17.03888555,22.54364961,24.12300385,23.67437241,17.74101141,15.98155449,22.5562743,12.11159426,29.27978462,23.25731022,12.58930116,25.31360054,16.61999513,13.15819173,12.72474139,16.86171998,18.28646168,11.96400729,13.9531378,15.6623345,10.66908803,17.56617421,14.50954677
20.9630134,10.25640502,16.58677175,26.01292884,27.94886946,24.00621705,11.03218656,19.54131564,14.48647075,20.56622298,14.1368127,19.10666314,15.12192965,21.4653093,21.42509926,19.65850659,14.252694,17.58550324,6.87463981,9.945637883,10.35017824,9.371545961,7.887677545,14.89398086,8.789995007,8.492113592,10.76412393,10.72222227,10.45804161,7.155377523,7.794235296,7.300454124,8.270425598,14.12126713,7.61440313,7.360255539
0,0,0,0.161570987,0,0,0,0,0.150900737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132689275,0,0,0,0,0,0,0,0,0,0
1.22842153,0.972295509,0.838615775,0.48471296,0.326887362,0.145492225,0.149405632,0.787956276,1.659908107,0.417791878,0.446718147,1.816625659,1.102640704,1.107886932,2.321245857,0.336042848,0,0.58133895,4.494956799,6.774564935,5.387764014,10.54298921,3.327613964,5.808652536,8.213601892,5.97101737,4.179012819,4.727001214,5.680911493,6.772053727,5.276097739,5.909891434,5.307885085,4.48815467,5.710802348,6.210244722
2.303290368,2.754837276,3.144809155,4.362416637,4.412979388,4.073782288,2.689301374,3.467007613,0.905404422,1.392639593,4.467181472,1.059698301,1.102640704,2.077287997,2.321245857,1.512192815,1.801519816,0.290669475,1.189841506,0.720698397,0,0.439291217,0.73946977,4.766073876,0.720491394,0.26537855,0.126636752,0.46117085,1.549339498,0.511098394,0.239822624,0.463520897,0.493756752,0.109467187,1.015253751,0.230009064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.074868838,2.916886528,2.411020352,2.908277758,3.432317302,0.872953347,1.045839423,0.630365021,0.301801474,0.557055837,1.191248392,0.454156415,0.945120603,0.830915199,1.015545062,0.840107119,0.150126651,0.290669475,0.661023059,0.720698397,0.425349791,0.585721623,0.492979847,1.532411903,0.576393115,0.398067825,0.126636752,0.345878138,0.903781374,0.75315715,0.719467873,0.927041794,0.740635128,0.109467187,0.507626875,0.230009064
0,0,0.209653944,0,0,0.436476674,0.149405632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109467187,0,0
45.91225467,45.04969193,54.61485233,70.9296631,65.70435978,45.53906629,49.45326415,45.38628148,24.4459194,45.40005073,56.58429864,43.14485941,30.8739397,44.86942073,49.18139659,30.07583487,45.93875531,24.4162359,21.94596555,27.96309782,26.79703681,25.18602977,24.64899233,62.1079002,26.36998502,24.14944803,16.08286752,21.55973724,28.79189234,24.40494834,22.30350408,20.62667991,27.77381731,26.70999365,23.09702283,20.47080668
4.299475354,5.185576049,6.28961831,4.847129597,5.557085155,5.674196758,5.229197116,4.727737654,4.376121373,5.431294413,6.105148011,6.358189808,3.622962312,5.123977059,5.077725312,3.528449901,4.653926191,6.104058975,5.552593693,3.603491987,3.686364852,3.807190547,4.067083734,7.59593024,3.746555249,4.511435346,4.938833332,6.110513764,5.810023118,4.344336353,4.79645249,4.171688071,5.307885085,5.25442498,5.330082191,3.220126893
7.67763456,11.18139836,9.434427466,9.694259194,7.028078285,9.166010148,8.814932281,6.776423971,9.506746432,11.14111674,9.827799238,16.34963093,10.08128643,11.07886932,13.34716368,6.720856955,13.06101867,7.55740635,4.098342964,6.774564935,7.23094644,8.05367231,5.053043427,6.255471962,8.069503613,4.113367521,2.912645298,6.686977327,7.746697491,6.133180734,5.036275114,6.025771658,5.431324273,5.363892167,6.852962817,5.750226594
490.8895275,609.4672351,647.4407296,595.2275145,551.3560103,488.6079927,496.5929452,552.4093544,522.4907839,521.7788837,560.0564973,516.257763,410.8848814,442.426337,429.6466496,434.792399,515.9672854,334.0911345,237.7779265,356.4358064,281.4440316,424.949823,214.8221304,451.077615,432.0397825,276.3944134,90.07938114,104.9151002,391.3102215,382.4242627,148.9202569,162.7873801,295.3652891,52.18333648,338.2965095,132.9049873
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595517,0,0,0.073215203,0,0,0,0,0,0,0,0,0.059955656,0,0.061719594,0,0.063453359,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.381974221,1.620492515,0.419307887,1.292567892,2.124767854,1.454922246,1.344650687,1.575912551,1.056305159,1.114111674,0.893436294,2.876323961,1.575201005,0.830915199,1.450778661,1.680214239,1.050886559,1.1626779,0.528818447,0.720698397,0.425349791,0.585721623,0.616224808,0.744699043,0.576393115,0.26537855,0.506547008,0.230585425,0.387334875,0.511098394,1.07920181,0.927041794,1.481270256,0.76627031,1.015253751,1.265049851
7.063423796,3.078935779,3.773770986,3.231419731,2.941986259,2.618860042,4.930385852,5.988467696,8.450441273,4.177918779,3.424839128,1.362469245,2.362801508,2.492745596,3.191713053,2.016257087,4.50379954,1.74401685,0.925432282,0.864838077,2.126748953,1.025012839,2.957879079,0.744699043,3.890653528,7.032531569,28.61990598,3.458781376,1.291116248,15.20517724,5.8756543,5.678130986,3.456297265,0.437868748,1.14216047,16.56065259
0.312553432,0.324098503,0.419307887,0.501605206,0.817218405,0.436476674,1.220155456,0.945547531,0.603602948,0.42409775,0.595624196,0.151385472,2.047761307,0.138485866,1.305700795,0.168021424,1.351139862,1.453347375,0.135049655,0,0,0.146430406,0.246489923,0.297879617,0.288196558,0.132689275,0.13063974,0.691756275,0,0.638872993,0.719467873,0,0.370317564,0.672232522,0.126906719,0.920036255
90.88277069,108.5005625,107.8659058,102.1164181,96.37391275,101.4790807,107.1774747,117.7548649,108.0164075,104.6958593,111.7024683,116.6494696,117.314355,106.0708951,101.2257598,115.256312,108.1618986,109.9301781,59.03927448,51.74196488,49.60812073,79.4064268,52.53501357,54.84648877,80.69258646,48.70306759,32.01655694,38.96686157,64.70390345,61.77595184,42.27065615,49.68515257,48.12103931,38.08987401,71.58884153,45.32386104
104.1053465,72.50747916,109.9907485,108.1816313,133.6137383,140.8097028,109.8041751,102.5630679,118.8287471,124.9118335,156.8516758,135.3422449,128.9925802,115.9817747,124.6179698,165.4207883,161.9115935,181.9997851,131.2703217,124.3098072,80.29710812,98.90085313,142.2764486,112.8332245,92.85548988,95.75362295,95.30454017,96.31726144,91.90010522,84.98940205,85.09482291,107.6059127,74.65774907,88.41303458,110.5849919,83.82093806
0,0,0,0,0.326887362,0.145492225,0,0.157591255,0,0.139263959,0,0,0.157520101,0,0.145077866,0,0,0.290669475,0,0.432419038,0.141783264,0.146430406,0.123244962,0,0.144098279,0,0,0.345878138,0,0,0,0.115880224,0.123439188,0,0,0.115004532
0,0,0,0.161570987,0,0,0,0,0,0,0,0,0,0,0,0,0.150126651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.150900737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.29566034,7.616314823,6.079964367,4.847129597,6.864634604,6.838134555,6.125630907,5.988467696,7.394136114,9.013553385,6.849678257,10.22910118,9.608726132,7.543920635,6.528503973,14.05101,9.608105685,15.69615165,13.00138491,11.67531404,11.05909456,8.200102716,13.55694578,10.87260603,6.986936474,8.890181417,12.79031196,17.37484236,9.166925364,8.560898108,14.50926878,13.52472861,9.419965381,18.86415195,12.05613829,15.18059821
40.2308051,46.34608594,39.41494141,37.96918184,37.918934,36.51854837,43.02882198,40.50095257,44.66661816,39.27146168,39.60900905,36.3313021,39.69506533,39.46847194,39.46117957,39.98909888,34.37900315,47.6697939,107.0319282,105.217786,111.0079301,110.9892688,116.9541691,88.17236671,111.5281771,121.145308,100.2700939,102.4952214,106.5018553,108.3513263,97.96442441,104.5239622,98.49410316,87.45574403,90.09653669,106.9494995
7.00518126,7.242045871,10.42244264,10.93578681,7.232742462,5.764998456,6.37241913,6.064773381,1.638163311,5.973950357,6.625291731,5.722189165,3.763517498,5.860126379,6.421857233,4.393793839,5.749400366,1.918491202,2.260831065,1.750389025,3.077831085,3.524843438,0.802913811,7.716035302,3.554227276,1.42622394,1.093460232,0.716285953,3.398940991,3.670057019,2.10698565,1.401165731,1.903296496,1.98991642,2.269739357,1.896298226
6.142107648,7.616314823,2.306193381,6.139697489,7.191521966,5.09222786,3.585735165,7.564380247,0.754503685,1.531903552,4.616087521,1.211083773,3.780482413,5.262462925,10.73576209,1.008128543,1.951646467,0.872008425,15.07132574,0,1.559615899,0.146430406,0.123244962,26.21340632,0.864589673,0.132689275,0.506547008,0,2.065785997,7.538701319,6.355299549,0.115880224,16.04709444,0.218934374,1.522880626,7.705303636
581.811147,583.8634533,431.2581622,462.7393055,471.8619072,469.7565652,549.513914,606.2141607,565.0840259,444.6698221,446.5692411,328.7638287,444.5217237,418.2273167,392.2905498,318.4005983,392.4310666,282.6760644,606.537572,318.9623725,477.8861611,417.4379432,496.4035916,542.2109051,446.3818842,315.6319588,349.2641623,250.4791826,524.4849891,419.0291297,356.4675526,338.4061775,410.535286,248.3810475,448.7738845,332.4781017
0,0,0.104826972,0.161570987,0.326887362,0.581968898,0.448216896,0.945547531,0.150900737,0.139263959,0.297812098,0.454156415,0.157520101,0.138485866,0.580311464,0.168021424,0.150126651,0,0,0.144139679,0,0,0,0.297879617,0.144098279,0,0.126636752,0.115292713,0.387334875,0.127774599,0.119911312,0,0,0.109467187,0,0.230009064
1.381974221,0.324098503,0.104826972,0,0,0.145492225,0.149405632,0,0.603602948,0.139263959,0.148906049,0.90831283,0.157520101,0.415457599,0.145077866,0,0,0.726673688,0.132204612,0.864838077,0.283566527,0.585721623,0,0.148939809,0.720491394,0.663446374,0.633183761,0.230585425,0.387334875,0.383323796,1.678758371,0.115880224,0.370317564,0.218934374,0.253813438,0.575022659
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.527896883,7.454265571,4.297905845,4.68555861,3.268873621,4.364766737,5.079791484,5.51569393,6.941433903,3.899390861,6.849678257,5.60126245,11.18392714,10.10946825,4.932647446,3.360428478,4.954179494,4.360042125,122.0248566,117.0414197,151.708092,118.1693374,120.4103275,54.66090977,96.83404336,144.2332418,88.13917946,102.0340506,79.0163144,100.1752853,100.9653249,110.5497339,85.17303974,76.29862939,64.84933332,93.95870255
0,0,0,0,0,0,0,0,0,0.139263959,0,0,0,0,0,0.168021424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230009064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.291845325,7.454265571,9.11994655,10.66368511,7.681853009,10.32994794,8.665526649,10.08584033,9.959448643,7.241725884,11.46576578,6.963731694,9.13616583,10.80189758,6.818659705,6.720856955,8.407092474,4.796046338,3.569524517,5.33316814,6.947379913,3.514329735,3.450858926,4.31925445,5.475734595,5.042192445,6.965021366,3.343488663,4.102521879,7.666475917,7.554412671,5.446370537,6.29539859,3.552286848,3.553388127,5.750226594
33.93514476,29.65501303,31.8225335,36.35347198,33.99628566,45.24808184,35.47337918,34.51248488,31.99095625,38.78919059,40.70004367,47.53503809,36.85970352,37.34119054,32.497442,50.74247001,44.58761544,46.91143724,79.70245868,45.11571967,59.12362089,69.09757981,51.63963893,66.70239541,62.82684956,44.31821781,58.84771879,62.37335748,68.55827279,61.45958194,59.47601087,61.7641595,49.71414547,54.95252791,69.39640106,42.66668133
0.307105382,0.486147755,0.628961831,0.161570987,0,0.436476674,0.747028159,0.630365021,0,0,0.148906049,0,0,0.415457599,0.145077866,0,0,0,0.132204612,0.720698397,1.417832635,0.292860811,0.369734885,0.595759235,0.144098279,0.398067825,1.519641025,0.46117085,0.645558124,0.638872993,0.479645249,0,0.987513504,1.094671871,0.380720157,0.230009064
83.68621671,79.72823176,88.68361818,80.46235131,98.22965231,82.20310688,86.20704959,89.98460669,78.61928398,95.95286796,87.1100387,85.68417694,79.39013067,84.1994068,76.89126901,84.68279764,85.42206461,89.09019409,78.13292553,65.43941448,72.45124766,78.77955823,56.44619243,93.38526001,76.66028432,66.74270526,65.72447434,69.63679837,79.40364928,84.97010808,70.26802897,63.85000353,66.0399656,76.84596533,76.01712458,73.947914
0,0,0,0,0.163443681,0,0,0,0,0,0.148906049,0,0,0,0,0,0,0,0,0,0.141783264,0,0,0,0,0.132689275,0,0.230585425,0,0.127774599,0.119911312,0.231760448,0.246878376,0.109467187,0,0
63.78624859,56.76407027,49.96483269,50.14743338,54.37722235,55.62764264,57.23386124,57.1213143,58.81974918,52.9583236,65.34325026,46.80384626,38.7011135,51.97471508,58.37556128,44.05168889,55.46939564,55.61073862,38.38878193,44.36215743,35.2796459,44.23603982,36.28738379,53.78127126,38.53562631,36.22005867,51.34031222,54.86445841,42.03693749,40.05324788,39.75095974,38.26608351,46.25760132,45.76374276,44.44730158,37.60406683
59.27133881,75.51495122,62.68652916,66.56724646,54.59018947,53.97761532,54.98127253,61.145407,46.77922847,47.2104822,51.22368087,43.7504013,40.79770604,47.77762393,56.58036776,29.5717706,50.8929348,17.00416429,17.9798272,25.51272326,20.55857321,41.5862352,21.93760317,35.44767445,33.57489896,16.45347009,7.598205126,8.301075302,34.47280383,28.23818629,9.832727604,9.849819057,18.39243902,4.707089044,19.03600783,10.69542147
